CODIGO_DEL_PRODUCTO,VENTA,VENTA_ZONA_101,VENTA_ZONA_102,VENTA_ZONA_103,VENTA_ZONA_104,VENTA_ZONA_107,VENTA_ZONA_109,VENTA_ZONA_110,VENTA_ZONA_111,VENTA_ZONA_112,VENTA_ZONA_115,VENTA_ZONA_116,VENTA_ZONA_119,TALLA,NOMB_SUBGRUPO,CAMPANA,CAMPANA_CAT_Cuarto_trimestre,CAMPANA_CAT_Primer_trimestre,CAMPANA_CAT_Segundo_trimestre,CAMPANA_CAT_Tercer_trimestre,ROPA_CAT_Conjuntos y otros,ROPA_CAT_Ropa_inferior,ROPA_CAT_Ropa_superior,TALLA_CAT_Grande,TALLA_CAT_Mediana,TALLA_CAT_Pequeña
P02823,6318.0,305,76,38,190,76.0,190,76,38,152,38.0,152,0,T-14,216 RE-JEANS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02593,6352.0,222,178,267,178,44.0,44,44,89,44,311.0,89,133,T-L,225 RE-VESTIDOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02802,6356.0,38,266,38,114,114.0,266,152,114,152,152.0,38,190,T-16,216 RE-JEANS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02447,6391.0,143,171,86,29,114.0,114,114,86,86,29.0,86,114,T-S,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02740,6397.0,51,51,203,0,152.0,0,0,152,51,102.0,203,152,T-12,223 RE-SHORTS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02565,6414.0,381,381,254,0,127.0,0,191,127,64,0.0,64,64,T-M,202 RE-BODYS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02856,6414.0,254,191,127,0,127.0,64,191,191,127,127.0,254,0,T-S,225 RE-VESTIDOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02933,6426.0,0,279,0,0,70.0,140,0,70,0,0.0,140,0,T-L,211 RE-CHAQUETAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02781,6455.0,400,114,0,0,798.0400000000009,57,114,114,171,171.0,57,114,T-L,214 RE-ENTERIZOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02432,6455.0,343,343,286,57,171.0,0,114,171,114,400.0,343,229,T-XL,215 RE-FALDAS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
P02633,6512.0,171,229,114,57,0.0,57,57,229,114,114.0,229,57,T-L,214 RE-ENTERIZOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02608,6600.0,152,203,254,305,305.0,254,152,51,203,51.0,152,305,T-S,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02734,6620.0,200,200,228,86,57.0,57,29,57,29,143.0,143,57,T-M,202 RE-BODYS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02793,6706.0,152,0,152,0,152.0,305,152,0,229,152.0,229,76,T-M,225 RE-VESTIDOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02501,6769.0,0,0,0,83,0.0,0,0,165,330,165.0,413,0,T-XL,225 RE-VESTIDOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
P02822,6774.0,210,210,70,279,70.0,140,70,70,0,140.0,140,70,T-L,217 RE-JOGGERS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P02868,6803.0,203,51,152,203,305.0,102,102,203,0,102.0,203,102,T-S,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02920,7099.0,228,203,178,25,127.0,127,127,76,178,76.0,127,76,T-S,204 RE-BUZOS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02662,7159.0,406,203,203,51,152.0,51,152,0,152,51.0,305,254,T-10,216 RE-JEANS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02821,7209.0,355,305,102,51,203.0,152,254,152,203,51.0,203,102,T-S,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02769,7239.0,0,318,64,64,127.0,191,127,64,0,0.0,254,127,T-L,213 RE-CONJUNTOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02585,7263.0,210,140,70,70,210.0,140,210,0,140,210.0,210,210,T-8,217 RE-JOGGERS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02690,7269.0,228,305,152,76,190.0,190,266,76,152,190.0,190,114,T-14,217 RE-JOGGERS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02935,7311.0,102,355,152,152,203.0,51,102,51,152,152.0,0,102,T-10,219 RE-OVEROLES FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
P02563,7313.0,457,286,286,229,457.0,57,171,171,286,57.0,400,171,T-12,216 RE-JEANS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02898,7361.0,508,203,203,51,305.0,102,102,406,152,51.0,152,51,T-14,220 RE-PANTALONES FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02497,7361.0,203,152,51,0,102.0,406,203,152,102,51.0,254,51,T-S,225 RE-VESTIDOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02715,7430.0,318,127,127,0,191.0,0,64,64,0,64.0,191,318,T-L,215 RE-FALDAS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P02479,7463.0,305,305,102,152,102.0,203,203,305,203,355.0,508,203,T-8,217 RE-JOGGERS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02698,7530.0,355,101,127,76,76.0,127,76,51,127,101.0,203,76,T-M,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02725,7620.0,76,76,152,76,229.0,152,76,152,76,229.0,0,229,T-XL,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P02697,7738.0,254,190,254,127,63.0,159,95,63,159,63.0,159,95,T-XS,202 RE-BODYS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02700,7770.0,229,229,286,318,114.0,534,286,0,171,0.0,171,114,T-L,225 RE-VESTIDOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
