CODIGO_DEL_PRODUCTO,VENTA,VENTA_ZONA_101,VENTA_ZONA_102,VENTA_ZONA_103,VENTA_ZONA_104,VENTA_ZONA_107,VENTA_ZONA_109,VENTA_ZONA_110,VENTA_ZONA_111,VENTA_ZONA_112,VENTA_ZONA_115,VENTA_ZONA_116,VENTA_ZONA_119,TALLA,NOMB_SUBGRUPO,CAMPANA,CAMPANA_CAT_Cuarto_trimestre,CAMPANA_CAT_Primer_trimestre,CAMPANA_CAT_Segundo_trimestre,CAMPANA_CAT_Tercer_trimestre,ROPA_CAT_Conjuntos y otros,ROPA_CAT_Ropa_inferior,ROPA_CAT_Ropa_superior,TALLA_CAT_Grande,TALLA_CAT_Mediana,TALLA_CAT_Pequeña
P00845,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00640,51.0,0,0,0,0,0.0,0,32,0,0,0.0,0,0,T-S,206 RE-CAMISAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00667,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-S,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00708,51.0,0,0,0,0,0.0,0,0,0,0,44.0,0,0,T-M,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00938,51.0,0,0,0,0,0.0,0,0,0,51,0.0,0,0,T-M,207 RE-CAMISETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00755,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-16,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00713,64.0,0,0,0,0,0.0,0,0,0,0,64.0,0,0,T-M,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00606,64.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-XL,217 RE-JOGGERS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
P00825,64.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-10,220 RE-PANTALONES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00724,64.0,64,0,0,0,0.0,0,0,0,0,0.0,0,0,T-M,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00772,191.0,0,0,0,0,64.0,0,0,0,0,0.0,0,0,T-10,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00683,191.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-12,220 RE-PANTALONES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00486,228.0,0,0,0,0,0.0,0,0,0,0,0.0,0,57,T-S,207 RE-CAMISETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00515,228.0,0,38,0,0,0.0,0,0,0,0,0.0,0,38,T-8,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00613,254.0,0,64,0,64,0.0,0,0,0,0,0.0,0,0,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00496,254.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-12,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00535,304.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00464,304.0,0,51,0,0,0.0,0,0,0,0,0.0,0,25,T-XL,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
P00748,304.0,0,51,0,0,0.0,0,0,0,0,0.0,0,0,T-M,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00808,343.0,0,0,0,57,57.0,0,0,0,0,0.0,0,0,T-12,223 RE-SHORTS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00721,355.0,0,0,0,0,0.0,0,0,89,0,0.0,0,0,T-L,211 RE-CHAQUETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00528,380.0,0,38,0,38,0.0,0,0,0,0,0.0,0,0,T-S,206 RE-CAMISAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00860,381.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-M,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00953,381.0,0,0,0,64,0.0,0,0,0,64,0.0,0,0,T-14,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00466,400.0,0,0,0,0,44.0,0,0,0,0,44.0,0,0,T-8,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00927,445.0,0,0,0,0,0.0,64,0,0,0,0.0,0,0,T-M,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00690,445.0,0,0,0,0,64.0,0,0,0,0,0.0,0,0,T-S,202 RE-BODYS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00704,456.0,0,51,0,0,0.0,0,0,51,0,0.0,0,0,T-XS,202 RE-BODYS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00442,456.0,0,0,51,0,0.0,0,0,51,0,0.0,51,0,T-L,214 RE-ENTERIZOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00503,476.0,0,32,0,0,0.0,0,0,0,32,0.0,0,0,T-L,211 RE-CHAQUETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00797,508.0,64,64,0,0,0.0,0,0,0,0,0.0,0,0,T-10,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00482,532.0,0,0,0,0,0.0,0,0,38,38,0.0,38,0,T-8,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00628,571.0,0,0,0,0,32.0,32,0,32,0,0.0,32,0,T-6,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00735,572.0,64,0,0,0,0.0,0,0,0,64,0.0,0,0,T-14,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00855,572.0,0,0,0,0,0.0,0,0,64,0,64.0,64,0,T-10,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00638,572.0,0,0,0,0,0.0,0,64,0,0,0.0,0,0,T-M,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00753,572.0,0,0,0,0,0.0,0,0,0,0,64.0,64,0,T-L,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00491,577.0,0,0,44,0,0.0,44,0,44,44,0.0,44,0,T-L,210 RE-CHALECOS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00740,608.0,0,0,0,0,0.0,0,0,51,51,51.0,51,0,T-L,206 RE-CAMISAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00742,608.0,51,0,0,0,0.0,0,0,51,0,0.0,51,0,T-XL,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
P00894,609.0,0,0,0,0,0.0,0,0,0,0,0.0,51,0,T-8,220 RE-PANTALONES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00714,610.0,0,0,0,0,0.0,0,0,0,0,76.0,0,0,T-14,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00898,622.0,0,0,44,0,44.0,0,0,0,44,0.0,0,0,T-L,215 RE-FALDAS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P00782,628.0,114,0,0,0,0.0,114,0,57,57,0.0,0,0,T-14,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00675,659.0,0,51,0,0,0.0,0,0,0,51,0.0,0,0,T-L,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00444,659.0,0,0,51,0,0.0,51,51,0,51,0.0,51,0,T-8,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00685,684.0,76,25,0,0,0.0,0,0,0,0,25.0,0,0,T-M,204 RE-BUZOS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00839,685.0,57,0,0,0,114.0,0,0,0,0,0.0,0,0,T-XL,206 RE-CAMISAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00942,699.0,0,64,0,0,0.0,0,0,0,0,0.0,0,0,T-M,223 RE-SHORTS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P00595,699.0,0,0,64,0,0.0,127,0,0,0,0.0,64,0,T-XL,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
P00478,711.0,0,0,0,0,0.0,0,0,0,0,44.0,0,0,T-L,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00769,729.0,32,0,32,0,0.0,0,0,95,0,0.0,63,0,T-S,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00620,742.0,0,57,0,0,0.0,0,0,0,0,0.0,0,57,T-S,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00552,761.0,51,0,0,51,0.0,0,0,0,0,0.0,0,0,T-8,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00642,762.0,0,64,0,0,0.0,64,64,0,0,0.0,0,0,T-L,209 RE-CAPRIS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P00449,762.0,64,0,64,0,0.0,0,0,0,0,127.0,127,0,T-XS,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00869,771.0,86,0,86,0,0.0,0,0,0,0,0.0,0,0,T-L,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00597,793.0,0,32,0,0,63.0,0,0,63,32,0.0,32,32,T-10,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00736,793.0,0,0,63,32,0.0,32,32,0,0,0.0,0,0,T-6,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00877,799.0,0,0,0,0,44.0,89,44,0,0,44.0,0,44,T-S,204 RE-BUZOS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00943,799.0,114,38,0,0,38.0,0,0,0,0,76.0,0,76,T-8,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00643,800.0,114,0,0,0,0.0,0,0,0,0,57.0,0,0,T-16,220 RE-PANTALONES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00767,826.0,64,0,64,64,64.0,0,0,0,64,0.0,127,0,T-M,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00645,826.0,0,0,0,0,0.0,0,64,0,64,0.0,0,0,T-12,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00695,826.0,0,0,0,0,0.0,64,0,64,0,0.0,0,0,T-16,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00720,826.0,0,64,64,64,0.0,0,0,0,0,0.0,0,0,T-14,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00847,826.0,0,0,0,0,127.0,0,0,0,0,64.0,0,0,T-10,220 RE-PANTALONES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00830,844.0,0,0,44,0,0.0,0,0,0,44,44.0,0,0,T-L,204 RE-BUZOS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00756,862.0,102,0,102,0,0.0,0,0,0,51,51.0,0,51,T-L,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00757,862.0,51,0,51,0,51.0,0,51,0,0,0.0,0,0,T-XL,206 RE-CAMISAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00532,870.0,51,0,0,0,0.0,0,0,0,0,0.0,0,0,T-8,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00801,913.0,0,0,228,76,38.0,0,0,0,0,38.0,0,0,T-12,220 RE-PANTALONES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00546,913.0,0,51,203,0,51.0,0,0,0,51,0.0,51,51,T-M,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00829,913.0,0,51,0,0,0.0,0,0,51,0,0.0,51,51,T-S,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00754,953.0,0,0,0,0,0.0,0,0,0,64,0.0,0,0,T-8,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00923,953.0,0,0,0,0,0.0,127,0,0,0,0.0,64,64,T-S,217 RE-JOGGERS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P00694,953.0,0,0,64,0,127.0,0,64,0,0,0.0,64,0,T-S,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00536,964.0,0,0,102,0,0.0,0,0,51,51,51.0,0,51,T-XL,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
P00625,971.0,57,0,57,0,0.0,0,0,0,0,57.0,0,114,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00632,971.0,0,0,0,0,57.0,0,114,114,57,0.0,57,0,T-S,207 RE-CAMISETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00950,977.0,0,0,44,44,44.0,89,0,0,44,0.0,44,0,T-16,221 RE-PESCADORES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00518,989.0,76,0,38,0,0.0,38,38,76,76,152.0,0,38,T-M,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00712,1013.0,76,25,25,25,25.0,25,25,25,25,51.0,0,25,T-M,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00698,1016.0,0,0,64,0,0.0,0,0,0,0,0.0,0,64,T-XL,207 RE-CAMISETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00711,1016.0,0,0,127,0,0.0,0,64,0,64,0.0,0,0,T-L,207 RE-CAMISETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00538,1021.0,133,44,44,0,44.0,0,0,44,89,0.0,89,89,T-S,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00848,1027.0,0,76,0,0,76.0,38,38,0,0,38.0,0,0,T-L,206 RE-CAMISAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00445,1028.0,0,57,0,0,0.0,0,0,0,0,0.0,229,0,T-XL,204 RE-BUZOS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00699,1028.0,57,0,0,0,0.0,114,0,114,0,0.0,0,0,T-10,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00897,1065.0,0,76,0,38,38.0,0,76,0,38,0.0,38,0,T-M,206 RE-CAMISAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00599,1065.0,38,0,0,38,0.0,38,0,38,0,0.0,38,0,T-10,209 RE-CAPRIS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00557,1067.0,0,0,0,0,0.0,0,305,0,0,76.0,0,0,T-M,202 RE-BODYS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00710,1078.0,32,0,0,0,0.0,0,0,95,32,63.0,0,0,T-XS,211 RE-CHAQUETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00465,1080.0,64,0,64,0,0.0,0,0,64,0,127.0,0,0,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00506,1080.0,64,0,0,0,0.0,0,0,0,0,0.0,0,64,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00856,1116.0,0,152,0,0,51.0,0,51,102,102,0.0,0,0,T-L,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00553,1116.0,0,152,0,0,0.0,0,0,0,0,0.0,0,51,T-XS,206 RE-CAMISAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00743,1141.0,38,38,38,114,38.0,76,0,0,76,0.0,38,38,T-L,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00602,1142.0,0,0,57,0,0.0,0,114,0,0,0.0,0,57,T-14,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00822,1142.0,95,48,95,0,0.0,0,48,0,0,0.0,48,0,T-8,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00846,1143.0,76,0,76,0,76.0,0,0,0,0,229.0,76,76,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00876,1167.0,51,0,0,51,51.0,0,0,0,51,0.0,51,0,T-12,220 RE-PANTALONES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00615,1199.0,0,44,44,0,0.0,0,44,0,0,0.0,44,44,T-M,217 RE-JOGGERS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P00582,1207.0,64,0,0,0,0.0,127,0,0,0,0.0,64,0,T-M,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00691,1207.0,0,0,0,0,127.0,0,0,0,64,64.0,0,0,T-16,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00781,1207.0,64,64,0,0,0.0,0,64,64,0,64.0,64,64,T-10,217 RE-JOGGERS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00879,1207.0,0,64,0,0,64.0,0,0,64,0,64.0,0,0,T-14,220 RE-PANTALONES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00945,1207.0,64,0,0,0,64.0,0,64,64,0,0.0,0,0,T-10,223 RE-SHORTS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00507,1217.0,0,0,76,0,0.0,114,38,38,0,0.0,38,114,T-12,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00501,1243.0,0,0,89,0,44.0,0,89,44,44,44.0,44,0,T-S,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00746,1255.0,38,38,38,0,0.0,76,0,0,38,0.0,38,0,T-M,206 RE-CAMISAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00441,1256.0,0,57,114,0,57.0,0,57,0,0,0.0,114,0,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00514,1257.0,229,0,0,0,0.0,57,57,171,114,57.0,114,0,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00890,1268.0,32,0,0,32,0.0,63,0,0,63,0.0,0,32,T-S,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00844,1268.0,0,0,32,0,32.0,32,0,0,0,0.0,63,32,T-16,220 RE-PANTALONES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00951,1268.0,51,0,0,0,0.0,0,0,0,51,51.0,0,0,T-S,223 RE-SHORTS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P00696,1268.0,51,203,0,0,0.0,0,0,102,0,0.0,0,0,T-XL,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
P00558,1270.0,64,127,0,0,0.0,64,0,0,0,0.0,0,0,T-XL,211 RE-CHAQUETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00865,1270.0,0,64,0,0,64.0,0,64,191,64,0.0,0,0,T-S,211 RE-CHAQUETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00626,1270.0,64,64,0,0,127.0,0,127,64,0,64.0,64,0,T-XL,214 RE-ENTERIZOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
P00607,1270.0,0,64,0,127,0.0,0,0,0,0,0.0,127,64,T-L,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00893,1295.0,76,0,76,0,76.0,152,152,0,76,305.0,0,0,T-L,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00902,1313.0,57,0,0,0,0.0,0,0,57,0,0.0,57,0,T-16,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00841,1314.0,0,0,0,0,57.0,0,0,0,0,57.0,0,0,T-14,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00728,1319.0,102,102,51,51,0.0,0,0,0,102,152.0,0,0,T-L,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00520,1319.0,51,0,51,51,51.0,51,0,51,0,51.0,0,0,T-S,211 RE-CHAQUETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00833,1319.0,0,0,102,0,102.0,102,102,0,51,51.0,152,51,T-12,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00941,1332.0,0,0,44,89,44.0,0,44,44,89,133.0,0,0,T-XL,218 RE-LEGGINS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
P00469,1334.0,0,64,0,0,0.0,64,0,64,0,127.0,0,0,T-M,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00843,1334.0,64,0,64,0,64.0,191,0,0,64,0.0,0,64,T-M,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00633,1369.0,102,0,51,0,51.0,51,51,0,51,51.0,0,0,T-8,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00731,1370.0,102,102,0,0,0.0,0,51,0,0,51.0,51,203,T-S,213 RE-CONJUNTOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00870,1394.0,51,76,127,0,51.0,0,25,25,76,0.0,51,25,T-S,213 RE-CONJUNTOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00631,1395.0,63,0,32,0,32.0,95,32,32,0,32.0,0,0,T-XS,211 RE-CHAQUETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00657,1397.0,0,127,0,0,0.0,0,64,64,0,0.0,64,0,T-16,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00709,1397.0,64,0,64,0,64.0,0,0,127,0,0.0,0,64,T-L,218 RE-LEGGINS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P00508,1397.0,0,64,0,64,64.0,0,64,0,64,0.0,0,0,T-XL,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
P00883,1397.0,0,0,64,0,0.0,0,64,127,64,0.0,0,0,T-XL,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
